include,FALSE,FALSE,FALSE,filtering,filtering,layout,layout,metadata,FALSE,FALSE,metadata,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,?,?,?,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,?,FALSE,metadata,TRUE,TRUE,TRUE,TRUE,TRUE
variable,,,,,,,,,,,,,interval,interval,interval,,nominal,,nominal,nominal,assymetric,,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,assymetric,assymetric,assymetric,,,,asymmetric,asymmetric,asymmetric,asymmetric,,asymmetric,asymmetric,asymmetric,,assymetric,,,assymetric,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,,,,,,,,,interval,interval,interval,interval,interval
weight,,,,,,,,,,,,,1/3,1/3,1/3,,½,,½,1,1,,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,1,1,,,,,,,,,1,1,1,1,1
id_burial,id_row,id_unified,id_full,undisturbed,lbk,layout_x,layout_y,sex,sex_dockalova,sex_podborsky,age_cat,age_interval,pit_len,pit_wid,pit_dep,pit_orient,pit_orient_cat,head_orient,head_orient_cat,body_side,pigment,polished_sum,pol_adze,pol_axe,grinding,pebble,lithics_sum,lit_local,lit_nonlocal,lit_kl,lit_skj,lit_other,lit_radiolarit,lit_sgs,pottery_sum,pot_bowl,pot_globular,pot_bottle,pot_special,pot_fragment,pot_head,pot_mid,pot_leg,pot_fill,bone_tool,bone_awl,pendant,pendant_L,pendant_U,pendant_I,buckle_O,bracelet_spond,spond_necklace,beads_spond,beads_marble,dividing_bead,bead_cylinder,bead_circle,bead_olive,deer_teeth,antler,shell,dat,d13c,d15n,sr,sr_ppm,body_height
47,34,7747,47/77,F,F,9.65,9.75,ind.,NA,NA,NA,NA,150,75,80,138,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
48,35,7748,48/77,T,T,11,8.9,F,F,F,A1,18–25,145,75,80,105,E,115,SE,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.8,10.3,0.71103,82,154.9
49,36,7749,49/77,F,T,11.35,8.8,ind.,NA,NA,NA,NA,130,75,70,120,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
50,37,7750,50/77,T,T,9.1,11.95,M,M,NA,A,Adult,125,80,35,118,NW,315,NW,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IIa,-19.8,9.5,NA,NA,NA
51,38,7751,51/77,T,T,6.35,8.4,F,F,F,M,45–55,140,80,30,135,SE,130,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IIa,-20.7,9.5,0.70911,190,NA
52,39,7752,52/77,F,F,9.9,12,ind.,NA,NA,NA,NA,130,75,40,130,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
53,40,7753,53/77,F,F,10.25,11.6,ind.,NA,NA,NA,NA,150,90,65,125,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
54,41,7854,54/78,T,T,10.75,11.6,M,M,M,A1,20–25,145,85,70,132,SE,140,SE,L,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,Ib,-19.6,10.1,0.71109,58,171.9
55,42,7855,55/78,F,T,11,11.75,n. a.,NA,C,NA,NA,105,60,30,110,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
56,43,7856,56/78,F,T,11.1,11,n. a.,NA,C,I1,4–5,NA,NA,25,NA,NA,135,SE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.8,9.1,NA,NA,NA
